,Time,CPU usage [%]
0,2024.05.01 00:00:00,7.172991
1,2024.05.01 01:00:00,7.869319
2,2024.05.01 02:00:00,6.4960303
3,2024.05.01 03:00:00,3.5952075
4,2024.05.01 04:00:00,3.1197014
5,2024.05.01 05:00:00,3.1477015
6,2024.05.01 06:00:00,3.144884
7,2024.05.01 07:00:00,4.0204687
8,2024.05.01 08:00:00,4.7184887
9,2024.05.01 09:00:00,4.981398
10,2024.05.01 10:00:00,6.6160865
11,2024.05.01 11:00:00,6.240002
12,2024.05.01 12:00:00,7.0434556
13,2024.05.01 13:00:00,6.664308
14,2024.05.01 14:00:00,6.727157
15,2024.05.01 15:00:00,5.964402
16,2024.05.01 16:00:00,5.917999
17,2024.05.01 17:00:00,5.6392856
18,2024.05.01 18:00:00,5.579545
19,2024.05.01 19:00:00,5.243432
20,2024.05.01 20:00:00,4.685693
21,2024.05.01 21:00:00,4.172624
22,2024.05.01 22:00:00,8.904131
23,2024.05.01 23:00:00,3.6148527
24,2024.05.02 00:00:00,2.7545428
25,2024.05.02 01:00:00,1.5708439
26,2024.05.02 02:00:00,1.7899348
27,2024.05.02 03:00:00,1.2469797
28,2024.05.02 04:00:00,1.3755523
29,2024.05.02 05:00:00,1.6956325
30,2024.05.02 06:00:00,1.8998905
31,2024.05.02 07:00:00,2.7734804
32,2024.05.02 08:00:00,3.101269
33,2024.05.02 09:00:00,3.7454484
34,2024.05.02 10:00:00,5.685415
35,2024.05.02 11:00:00,4.973838
36,2024.05.02 12:00:00,5.990205
37,2024.05.02 13:00:00,6.6361895
38,2024.05.02 14:00:00,6.427355
39,2024.05.02 15:00:00,5.939513
40,2024.05.02 16:00:00,7.2579947
41,2024.05.02 17:00:00,5.962188
42,2024.05.02 18:00:00,5.3192863
43,2024.05.02 19:00:00,4.4695573
44,2024.05.02 20:00:00,4.1781535
45,2024.05.02 21:00:00,3.7148013
46,2024.05.02 22:00:00,8.122768
47,2024.05.02 23:00:00,3.1492472
48,2024.05.03 00:00:00,5.455709
49,2024.05.03 01:00:00,4.933233
50,2024.05.03 02:00:00,3.3095727
51,2024.05.03 03:00:00,2.6168475
52,2024.05.03 04:00:00,1.3621484
53,2024.05.03 05:00:00,1.6822282
54,2024.05.03 06:00:00,1.7933154
55,2024.05.03 07:00:00,2.6401153
56,2024.05.03 08:00:00,2.7555506
57,2024.05.03 09:00:00,3.4524543
58,2024.05.03 10:00:00,5.6791334
59,2024.05.03 11:00:00,5.542324
60,2024.05.03 12:00:00,6.3661313
61,2024.05.03 13:00:00,6.901932
62,2024.05.03 14:00:00,6.3232603
63,2024.05.03 15:00:00,6.3165236
64,2024.05.03 16:00:00,7.094291
65,2024.05.03 17:00:00,5.880677
66,2024.05.03 18:00:00,5.006363
67,2024.05.03 19:00:00,6.1276507
68,2024.05.03 20:00:00,5.965668
69,2024.05.03 21:00:00,5.4575524
70,2024.05.03 22:00:00,11.267823
71,2024.05.03 23:00:00,3.7798877
72,2024.05.04 00:00:00,5.630619
73,2024.05.04 01:00:00,6.416729
74,2024.05.04 02:00:00,5.955899
75,2024.05.04 03:00:00,2.995214
76,2024.05.04 04:00:00,1.371251
77,2024.05.04 05:00:00,1.4148605
78,2024.05.04 06:00:00,1.5203004
79,2024.05.04 07:00:00,2.4144206
80,2024.05.04 08:00:00,2.276564
81,2024.05.04 09:00:00,2.6951687
82,2024.05.04 10:00:00,5.023956
83,2024.05.04 11:00:00,5.234482
84,2024.05.04 12:00:00,4.9813023
85,2024.05.04 13:00:00,7.0929523
86,2024.05.04 14:00:00,4.261572
87,2024.05.04 15:00:00,4.7361655
88,2024.05.04 16:00:00,6.7466264
89,2024.05.04 17:00:00,6.6894884
90,2024.05.04 18:00:00,6.8056054
91,2024.05.04 19:00:00,7.336838
92,2024.05.04 20:00:00,6.8487415
93,2024.05.04 21:00:00,5.0500836
94,2024.05.04 22:00:00,12.229381
95,2024.05.04 23:00:00,5.8057084
96,2024.05.05 00:00:00,12.86451
97,2024.05.05 01:00:00,13.7178335
98,2024.05.05 02:00:00,16.184715
99,2024.05.05 03:00:00,8.705543
100,2024.05.05 04:00:00,1.530606
101,2024.05.05 05:00:00,1.6715776
102,2024.05.05 06:00:00,1.4488137
103,2024.05.05 07:00:00,2.0353422
104,2024.05.05 08:00:00,10.660229
105,2024.05.05 09:00:00,3.7158105
106,2024.05.05 10:00:00,4.711649
107,2024.05.05 11:00:00,4.442945
108,2024.05.05 12:00:00,4.2434483
109,2024.05.05 13:00:00,5.3081303
110,2024.05.05 14:00:00,5.248671
111,2024.05.05 15:00:00,8.440733
112,2024.05.05 16:00:00,11.285223
113,2024.05.05 17:00:00,12.175951
114,2024.05.05 18:00:00,8.280543
115,2024.05.05 19:00:00,10.271143
116,2024.05.05 20:00:00,11.597952
117,2024.05.05 21:00:00,6.452879
118,2024.05.05 22:00:00,22.856506
119,2024.05.05 23:00:00,23.535488
120,2024.05.06 00:00:00,23.56548
121,2024.05.06 01:00:00,17.592115
122,2024.05.06 02:00:00,6.1891556
123,2024.05.06 03:00:00,3.1086822
124,2024.05.06 04:00:00,1.5179522
125,2024.05.06 05:00:00,2.271012
126,2024.05.06 06:00:00,1.9311513
127,2024.05.06 07:00:00,2.6244035
128,2024.05.06 08:00:00,2.8540978
129,2024.05.06 09:00:00,4.2231474
130,2024.05.06 10:00:00,5.771027
131,2024.05.06 11:00:00,6.0120387
132,2024.05.06 12:00:00,6.994901
133,2024.05.06 13:00:00,8.360151
134,2024.05.06 14:00:00,6.582328
135,2024.05.06 15:00:00,4.4191794
136,2024.05.06 16:00:00,4.291452
137,2024.05.06 17:00:00,4.9894404
138,2024.05.06 18:00:00,5.240512
139,2024.05.06 19:00:00,5.4912558
140,2024.05.06 20:00:00,3.6828196
141,2024.05.06 21:00:00,3.2627811
142,2024.05.06 22:00:00,8.666206
143,2024.05.06 23:00:00,4.315775
144,2024.05.07 00:00:00,6.648357
145,2024.05.07 01:00:00,6.0120873
146,2024.05.07 02:00:00,5.6240034
147,2024.05.07 03:00:00,2.3476
148,2024.05.07 04:00:00,1.7292596
149,2024.05.07 05:00:00,2.663298
150,2024.05.07 06:00:00,2.748284
151,2024.05.07 07:00:00,3.396164
152,2024.05.07 08:00:00,3.6723182
153,2024.05.07 09:00:00,3.9830263
154,2024.05.07 10:00:00,4.5468717
155,2024.05.07 11:00:00,5.0820465
156,2024.05.07 12:00:00,6.310892
157,2024.05.07 13:00:00,5.8938704
158,2024.05.07 14:00:00,5.212618
159,2024.05.07 15:00:00,4.7021565
160,2024.05.07 16:00:00,6.9658995
161,2024.05.07 17:00:00,7.165667
162,2024.05.07 18:00:00,6.897747
163,2024.05.07 19:00:00,6.42481
164,2024.05.07 20:00:00,6.8256207
165,2024.05.07 21:00:00,2.9476907
166,2024.05.07 22:00:00,7.45222
167,2024.05.07 23:00:00,3.6138926
168,2024.05.08 00:00:00,3.1608534
169,2024.05.08 01:00:00,2.9450645
170,2024.05.08 02:00:00,1.8117292
171,2024.05.08 03:00:00,1.6568458
172,2024.05.08 04:00:00,1.4130801
173,2024.05.08 05:00:00,1.9341236
174,2024.05.08 06:00:00,2.0734315
175,2024.05.08 07:00:00,2.8934283
176,2024.05.08 08:00:00,3.001048
177,2024.05.08 09:00:00,3.899027
178,2024.05.08 10:00:00,5.3825603
179,2024.05.08 11:00:00,5.8526874
180,2024.05.08 12:00:00,7.7502356
181,2024.05.08 13:00:00,6.409046
182,2024.05.08 14:00:00,5.676116
183,2024.05.08 15:00:00,5.4656386
184,2024.05.08 16:00:00,5.703928
185,2024.05.08 17:00:00,5.9184504
186,2024.05.08 18:00:00,5.602698
187,2024.05.08 19:00:00,5.0779004
188,2024.05.08 20:00:00,5.189471
189,2024.05.08 21:00:00,4.598805
190,2024.05.08 22:00:00,8.897985
191,2024.05.08 23:00:00,3.8574495
192,2024.05.09 00:00:00,2.6242316
193,2024.05.09 01:00:00,2.139348
194,2024.05.09 02:00:00,1.6909981
195,2024.05.09 03:00:00,1.3961335
196,2024.05.09 04:00:00,1.5872644
197,2024.05.09 05:00:00,1.9156077
198,2024.05.09 06:00:00,1.9963459
199,2024.05.09 07:00:00,3.0666187
200,2024.05.09 08:00:00,3.200014
201,2024.05.09 09:00:00,4.059819
202,2024.05.09 10:00:00,5.650871
